sample,EGFR,KRAS,TP53,BRCA1,BRCA2,ALK,PIK3CA,MAPK1,PTEN,HRAS,NRAS,AKT1,CDK4,CDK6,MYC,RET,FGFR1,FGFR2,BRAF,SMAD4,MLH1,MUTYH,TSC1,TSC2,VHL,IDH1,IDH2,SPOP,ARID1A,ATM,AXIN1,FBXW7,RAD51,RB1,ERBB2,RPS6KB1,STK11,NOTCH1,NF1,KMT2C,KMT2D,PD-0325901:MEK_IC50 (uM),RAF265:RAF_IC50 (uM),PHA-665752:c-MET_IC50 (uM),Histology,Hist Subtype1,Site Primary
UBLC1_URINARY_TRACT,779.9,5.069,3.594,4.943,1.8,0.01874,7.494,13.57,6.864,12.05,10.45,22.88,56.16,5.642,5.745,0.03755,4.808,2.266,4.425,12.48,7.958,11.58,2.178,7.2,8.987,39.56,45.06,6.815,3.87,3.129,9.601,2.269,4.286,0.4399,11.02,8.036,8.191,1.733,6.674,1.924,4.062,,,,carcinoma,transitional_cell_carcinoma,URINARY_TRACT
HCC827_LUNG,506.6,5.716,27.46,8.283,2.338,0.0461,5.793,9.943,5.598,12.7,39.12,27.46,1177.0,20.85,134.5,0.01864,1.993,0.5357,4.347,3.773,10.27,8.154,5.638,10.73,7.488,43.44,5.453,16.09,10.05,3.427,8.483,4.023,7.124,6.284,16.88,9.068,13.62,3.531,4.76,4.696,9.704,8.0,,8.0,carcinoma,adenocarcinoma,LUNG
KYSE520_OESOPHAGUS,454.9,5.595,21.88,11.82,1.982,0.01023,7.834,29.09,7.178,16.91,15.64,46.12,78.67,15.2,18.58,0.01093,5.335,0.5958,4.279,5.27,13.56,4.618,9.072,7.876,11.94,17.33,7.782,14.92,15.99,9.749,11.09,4.05,6.454,12.99,13.66,6.07,14.57,8.414,7.614,4.213,8.299,2.899,4.37,8.0,carcinoma,squamous_cell_carcinoma,OESOPHAGUS
MDAMB468_BREAST,363.3,4.406,47.12,6.785,3.769,0.01753,4.176,16.41,6.554,23.09,37.8,44.8,36.12,3.732,38.16,0.1312,5.952,3.55,5.208,0.1029,11.26,7.839,3.384,10.09,9.237,56.24,45.83,8.1,14.85,3.617,11.47,4.274,8.07,0.3561,11.93,7.262,15.26,6.793,5.815,4.244,6.391,8.0,1.028,5.091,carcinoma,NS,BREAST
NCIH3255_LUNG,269.6,4.788,2.434,8.655,1.105,0.04229,14.43,27.51,3.894,16.04,15.59,79.72,54.1,7.489,17.4,0.00103,0.1772,2.511,12.21,2.734,9.542,4.134,3.564,17.15,6.679,86.35,37.49,11.44,17.73,1.905,12.13,3.181,8.792,4.003,87.55,7.794,12.84,3.113,12.06,10.3,14.87,6.138,8.0,8.0,carcinoma,adenocarcinoma,LUNG
HSC2_UPPER_AERODIGESTIVE_TRACT,242.2,3.495,4.473,3.77,2.274,0.00382,5.304,11.16,5.878,38.48,20.51,29.61,35.18,11.92,37.51,0.0381,0.1235,9.623,2.372,1.704,11.67,3.093,4.347,6.975,9.857,23.76,5.283,8.97,7.61,5.545,8.751,2.875,4.001,14.49,8.837,4.79,11.3,22.47,4.829,2.408,4.918,8.0,8.0,8.0,carcinoma,squamous_cell_carcinoma,UPPER_AERODIGESTIVE_TRACT
OE21_OESOPHAGUS,241.2,2.543,1.394,5.984,1.624,0.01813,5.615,7.326,5.873,31.62,23.12,24.78,52.25,13.15,17.54,0.03616,0.1919,4.37,1.319,2.652,10.31,4.602,2.933,4.275,3.838,36.9,4.907,6.11,5.794,1.14,9.36,1.743,14.51,15.81,4.223,4.539,12.67,4.481,3.265,1.013,2.112,0.4617,1.359,8.0,carcinoma,squamous_cell_carcinoma,OESOPHAGUS
KYSE30_OESOPHAGUS,233.9,5.075,10.35,1.921,0.5044,0.07181,14.78,9.467,10.69,16.28,23.4,18.21,32.81,18.7,26.26,0.0199,0.5901,0.7648,6.781,4.49,5.459,8.824,15.61,18.39,14.91,64.63,21.0,15.53,14.88,3.195,11.46,3.53,1.762,6.226,46.83,6.793,21.6,8.776,10.66,4.611,9.165,0.08411,8.0,8.0,carcinoma,squamous_cell_carcinoma,OESOPHAGUS
KYSE450_OESOPHAGUS,213.0,7.722,80.3,10.99,2.325,0.00942,6.296,14.53,5.164,35.66,17.82,31.99,191.3,18.86,289.3,0.05537,1.553,8.275,8.311,2.475,16.29,17.41,6.863,17.17,22.33,49.57,22.27,18.13,14.98,3.218,34.12,2.149,5.597,11.39,11.33,7.169,15.06,6.603,11.38,4.977,17.02,6.273,,8.0,carcinoma,squamous_cell_carcinoma,OESOPHAGUS
CAL27_UPPER_AERODIGESTIVE_TRACT,198.5,4.123,43.56,8.45,2.971,0.00927,7.704,16.31,8.494,20.13,24.93,27.38,44.25,16.24,64.74,0.2615,0.1341,6.413,3.265,1.535,8.649,3.533,6.965,9.256,7.906,101.7,22.84,13.49,12.6,2.835,8.045,2.038,8.79,20.37,15.28,7.85,18.37,19.28,8.743,4.737,6.32,0.1339,2.656,8.0,carcinoma,squamous_cell_carcinoma,UPPER_AERODIGESTIVE_TRACT
